date,geography,geography code,Type of central heating in household: Total: All households,Type of central heating in household: No central heating,Type of central heating in household: Mains gas only,Type of central heating in household: Tank or bottled gas only,Type of central heating in household: Electric only,Type of central heating in household: Oil only,Type of central heating in household: Wood only,Type of central heating in household: Solid fuel only,Type of central heating in household: Renewable energy only,Type of central heating in household: District or communal heat networks only,Type of central heating in household: Other central heating only,Type of central heating in household: Two or more types of central heating (not including renewable energy),Type of central heating in household: Two or more types of central heating (including renewable energy)
2021,Huntingdonshire,E07000011,76881,787,56557,835,5546,5307,76,122,473,192,407,6068,511
2021,South Cambridgeshire,E07000012,67000,542,42516,1075,5357,9738,113,105,1068,116,255,5113,1002
2021,Allerdale,E07000026,43973,615,30792,826,1890,3416,287,493,231,73,250,4861,239
2021,Barrow-in-Furness,E07000027,31260,892,26044,120,952,173,27,54,21,65,216,2621,75
2021,Carlisle,E07000028,50665,690,36477,636,3200,2992,228,226,251,90,353,5254,268
2021,Copeland,E07000029,30790,393,23163,509,1499,1149,132,201,92,46,188,3273,145
2021,Eden,E07000030,24613,457,9422,992,1992,6074,420,555,509,40,97,3739,316
2021,South Lakeland,E07000031,47654,910,31029,1012,3665,3709,337,193,382,60,162,5714,481
2021,Amber Valley,E07000032,56278,588,45552,367,2524,861,98,284,137,59,237,5294,277
2021,Bolsover,E07000033,35262,226,29303,221,1047,345,49,576,79,85,241,2918,172
2021,Chesterfield,E07000034,48057,399,40557,157,2056,94,18,295,101,140,318,3743,179
2021,Derbyshire Dales,E07000035,32283,395,21168,661,1420,3312,192,274,290,129,119,4030,293
2021,Erewash,E07000036,50335,697,42070,139,2425,165,53,96,117,39,276,4064,194
2021,High Peak,E07000037,40774,450,32305,315,1965,732,64,133,93,154,155,4234,174
2021,North East Derbyshire,E07000038,45986,267,38274,446,1059,735,79,498,152,107,231,3901,237
2021,South Derbyshire,E07000039,45244,384,35944,635,1865,1541,72,279,195,102,206,3763,258
2021,East Devon,E07000040,66787,1105,41536,1251,6439,5787,320,198,713,2207,237,6283,711
2021,Exeter,E07000041,52553,1157,40161,203,6029,135,22,10,171,579,306,3468,312
2021,Mid Devon,E07000042,35632,917,18534,1141,3415,5665,363,157,485,31,152,4286,486
2021,North Devon,E07000043,43197,1047,26309,865,3949,4356,341,98,597,75,198,4770,592
2021,South Hams,E07000044,39335,949,20753,1219,4435,5301,295,93,703,76,119,4626,766
2021,Teignbridge,E07000045,59838,1279,40230,1450,5485,3801,338,86,426,73,214,5882,574
2021,Torridge,E07000046,30457,925,13734,1094,3400,5986,352,152,525,91,116,3661,421
2021,West Devon,E07000047,24818,669,11923,863,2143,4647,305,100,365,27,88,3337,351
2021,Eastbourne,E07000061,45610,780,34800,183,5851,48,8,17,43,381,341,3004,154
2021,Hastings,E07000062,40452,895,31140,153,4243,49,21,9,40,259,287,3214,142
2021,Lewes,E07000063,43688,593,31800,486,3890,2103,63,17,362,148,217,3631,378
2021,Rother,E07000064,42107,611,28259,641,4062,3209,158,45,203,201,156,4219,343
2021,Wealden,E07000065,68269,713,44925,1292,4785,7551,246,94,624,238,238,6843,720
2021,Basildon,E07000066,76361,807,60352,495,6908,175,10,24,75,881,599,5730,305
2021,Braintree,E07000067,64987,740,42855,548,6852,7026,138,77,315,155,318,5529,434
2021,Brentwood,E07000068,32343,334,25904,176,2520,405,20,15,61,142,157,2482,127
2021,Castle Point,E07000069,37390,393,30747,334,2624,48,9,7,40,80,209,2762,137
2021,Chelmsford,E07000070,75405,900,54170,1151,7815,3994,67,69,319,328,465,5661,466
2021,Colchester,E07000071,79711,863,55756,484,9317,4974,69,67,305,184,428,6617,647
2021,Epping Forest,E07000072,54558,669,41330,1033,4215,1867,37,40,220,218,418,4295,216
2021,Harlow,E07000073,37857,402,30108,199,3036,74,6,15,46,430,446,2981,114
